Time (ms),Date&Time,Poloniex,Binance,Huobi,KuCoin,Bitforex,Bittrex,OKEx,Bitfinex,TradeIO,Min Price,Min Exchange,Max Price,Max Exchange,Average
1563775208000,2019-07-22 00:00:08.000181,225.46495911,225.06,225.02,225.5,225.1,225.05,225.07,225.11,225.06,225.02,Huobi,225.5,Bittrex,225.159439901
1563775242763,2019-07-22 00:00:42.762564,225.409525,225.78,225.69,225.5,225.69,225.3491,225.76,225.81,225.96,225.3491,TradeIO,225.96,OKEx,225.660958333
1563775277989,2019-07-22 00:01:17.988874,225.409525,225.77,225.65,225.5,225.76,225.3491,225.95,225.74,225.59,225.3491,TradeIO,225.95,Bitforex,225.635402778
1563775313600,2019-07-22 00:01:53.600469,225.409525,225.65,225.65,225.79252989,225.51,225.3491,225.86,225.65,225.65,225.3491,TradeIO,225.86,Bitforex,225.613461654
1563775348970,2019-07-22 00:02:28.970456,225.409525,225.64,225.59,225.79252989,225.65,225.3491,225.7,225.65,225.8,225.3491,TradeIO,225.8,OKEx,225.620128321
1563775383689,2019-07-22 00:03:03.689299,225.409525,225.61,225.58,225.79252989,225.68,225.3491,225.75,225.75,225.71,225.3491,TradeIO,225.79252989,Bittrex,225.625683877
1563775418505,2019-07-22 00:03:38.505042,225.409525,225.57,225.54,225.79252989,225.24250935,225.3491,225.53,225.6,225.44,225.24250935,Bitfinex,225.79252989,Bittrex,225.497073804
1563775454176,2019-07-22 00:04:14.175573,225.409525,225.58,225.45,225.79252989,225.22007036,225.3491,225.47,225.53,225.47,225.22007036,Bitfinex,225.79252989,Bittrex,225.474580583
1563775489265,2019-07-22 00:04:49.264824,225.409525,225.64,225.48,225.79252989,225.35,225.3491,225.57,225.55,225.59,225.3491,TradeIO,225.79252989,Bittrex,225.525683877
1563775523972,2019-07-22 00:05:23.971886,225.409525,225.73,225.56,225.79252989,225.26,225.3491,225.69,225.75,225.67,225.26,Bitfinex,225.79252989,Bittrex,225.57901721
1563775558800,2019-07-22 00:05:58.800114,225.409525,225.66,225.52,225.79252989,225.4,225.3491,225.64,225.59,225.53,225.3491,TradeIO,225.79252989,Bittrex,225.543461654
1563775593727,2019-07-22 00:06:33.727437,225.409525,225.5,225.4,225.79252989,225.37,225.3491,225.62,225.4,225.49,225.3491,TradeIO,225.79252989,Bittrex,225.481239432
1563775628416,2019-07-22 00:07:08.415806,225.409525,225.41,225.35,225.79252989,225.26,225.3491,225.59,225.52,225.48,225.26,Bitfinex,225.79252989,Bittrex,225.462350543
1563775663058,2019-07-22 00:07:43.058033,225.409525,225.47,225.41,225.79252989,225.18,225.3491,225.59,225.45,225.5,225.18,Bitfinex,225.79252989,Bittrex,225.461239432
1563775697761,2019-07-22 00:08:17.761491,225.409525,225.71,225.64,225.455,225.54,225.3491,225.68,225.68,225.62,225.3491,TradeIO,225.71,Binance,225.564847222
1563775732444,2019-07-22 00:08:52.443787,225.409525,225.75,225.62,225.53300002,225.45,225.3491,225.66,225.61,225.62,225.3491,TradeIO,225.75,Binance,225.555736113
1563775767452,2019-07-22 00:09:27.452502,225.409525,225.73,225.55,225.79249705,225.44,225.55,225.73,225.74,225.64,225.409525,Poloniex,225.79249705,Bittrex,225.620224672
1563775802339,2019-07-22 00:10:02.339200,225.54345919,225.73,225.7,225.79249705,225.51,225.55,225.7,225.72,225.63,225.51,Bitfinex,225.79249705,Bittrex,225.652884027
1563775837092,2019-07-22 00:10:37.091660,225.54345919,225.47,225.4,225.79249705,225.43,225.55,225.62,225.44,225.5,225.4,Huobi,225.79249705,Bittrex,225.527328471
1563775871977,2019-07-22 00:11:11.976962,225.54345919,225.4,225.41,225.78452999,225.29,225.55,225.61,225.44,225.42,225.29,Bitfinex,225.78452999,Bittrex,225.49422102
1563775906643,2019-07-22 00:11:46.642597,225.47936224,225.59,225.51,225.39252993,225.26,225.55,225.63,225.61,225.54,225.26,Bitfinex,225.63,Bitforex,225.506876908
1563775941546,2019-07-22 00:12:21.546370,225.9954,225.94,225.81,225.79252995,225.72,225.55,225.87,225.92,225.72,225.55,TradeIO,225.9954,Poloniex,225.813103328
1563775976146,2019-07-22 00:12:56.146133,225.9954,225.91,225.79,225.79252995,225.27,225.55,225.81,225.83,225.77,225.27,Bitfinex,225.9954,Poloniex,225.746436661
1563776010910,2019-07-22 00:13:30.909684,225.9954,225.88,225.87,225.79252995,225.27,225.55,225.87,225.99,225.83,225.27,Bitfinex,225.9954,Poloniex,225.783103328
1563776045719,2019-07-22 00:14:05.718723,225.8998397,225.98,225.94,225.79252995,225.55,225.55,225.97,226.0,225.94,225.55,Bitfinex,226.0,KuCoin,225.846929961
1563776085844,2019-07-22 00:14:45.843737,225.8998397,225.76,225.72,225.79252995,225.56,226.0169,225.82,225.93,225.84,225.56,Bitfinex,226.0169,TradeIO,225.815474406
1563776120977,2019-07-22 00:15:20.977493,225.8998397,226.07,225.95,225.79252995,225.62,226.0169,226.06,226.15,226.02,225.62,Bitfinex,226.15,KuCoin,225.953252183
1563776155624,2019-07-22 00:15:55.623604,225.8998397,226.06,225.98,226.23205446,225.75,226.0169,226.01,226.04,226.01,225.75,Bitfinex,226.23205446,Bittrex,225.999866018
1563776190733,2019-07-22 00:16:30.732737,225.8998397,226.1,226.0,226.23205446,225.83,226.0169,226.03,226.06,226.01,225.83,Bitfinex,226.23205446,Bittrex,226.019866018
1563776225877,2019-07-22 00:17:05.877382,225.8998397,226.02,226.02,226.39431559,225.83,226.0169,226.02,226.05,225.93,225.83,Bitfinex,226.39431559,Bittrex,226.020117254
1563776261655,2019-07-22 00:17:41.654812,225.8998397,225.95,225.92,226.39431559,225.7,226.0169,226.07,226.02,226.06,225.7,Bitfinex,226.39431559,Bittrex,226.003450588
1563776296579,2019-07-22 00:18:16.579233,225.8998397,226.08,225.97,226.39431559,225.73,226.0169,226.08,225.93,226.08,225.73,Bitfinex,226.39431559,Bittrex,226.020117254
1563776331373,2019-07-22 00:18:51.373196,225.8998397,225.72,225.55,226.0,225.35,225.9867,225.66,225.48,225.61,225.35,Bitfinex,226.0,Bittrex,225.695171078
1563776366206,2019-07-22 00:19:26.206054,225.8998397,225.47,225.46,226.0,225.35,225.9867,225.58,225.45,225.47,225.35,Bitfinex,226.0,Bittrex,225.629615522
